Timestamp,Server,Transmitted packets,Successful packets,Avg RTT (ms)
1656439201.978655,195.148.124.36,5,5,0.947
1656439801.152931,195.148.124.36,5,5,0.882
1656440401.685564,195.148.124.36,5,5,0.968
1656441001.541650,195.148.124.36,5,5,0.918
1656441601.207424,195.148.124.36,5,5,0.915
1656442201.396478,195.148.124.36,5,5,0.948
1656442801.728713,195.148.124.36,5,5,0.914
1656443401.943080,195.148.124.36,5,5,0.902
1656444001.973835,195.148.124.36,5,3,0.949
1656444601.422334,195.148.124.36,5,0,inf
1656445201.775698,195.148.124.36,5,0,inf
1656445801.775922,195.148.124.36,5,0,inf
1656446401.254963,195.148.124.36,5,5,0.935
1656447001.265141,195.148.124.36,5,5,0.958
1656447601.759791,195.148.124.36,5,5,1.275
1656448201.412440,195.148.124.36,5,5,0.933
1656448801.218808,195.148.124.36,5,5,0.925
1656449401.765847,195.148.124.36,5,5,0.942
1656450001.364046,195.148.124.36,5,5,0.936
1656450601.479075,195.148.124.36,5,5,0.87
1656451202.035759,195.148.124.36,5,5,0.918
1656451801.229111,195.148.124.36,5,5,0.853
1656452401.735413,195.148.124.36,5,5,0.937
1656453001.298906,195.148.124.36,5,5,0.928
1656453602.027670,195.148.124.36,5,5,0.887
1656454201.587936,195.148.124.36,5,5,0.943
1656454801.891537,195.148.124.36,5,5,0.937
1656455401.316634,195.148.124.36,5,5,1.829
1656456001.661498,195.148.124.36,5,5,1.426
1656456601.995294,195.148.124.36,5,5,0.923
1656457201.780896,195.148.124.36,5,5,2.016
1656457801.501773,195.148.124.36,5,5,0.912
1656458401.820596,195.148.124.36,5,5,0.918
1656459001.540928,195.148.124.36,5,5,0.899
1656459601.755822,195.148.124.36,5,5,0.935
1656460202.021138,195.148.124.36,5,5,0.932
1656460801.759275,195.148.124.36,5,5,0.909
1656461401.501777,195.148.124.36,5,5,0.901
1656462001.214440,195.148.124.36,5,5,0.924
1656462601.195030,195.148.124.36,5,5,0.92
1656463201.519347,195.148.124.36,5,5,0.951
1656463801.866463,195.148.124.36,5,5,0.872
1656464401.352858,195.148.124.36,5,5,0.923
1656465001.263572,195.148.124.36,5,5,0.927
1656465601.730759,195.148.124.36,5,5,0.958
1656466201.278027,195.148.124.36,5,5,0.91
1656466801.173549,195.148.124.36,5,5,0.917
1656467401.428452,195.148.124.36,5,5,0.922
1656468002.024546,195.148.124.36,5,5,0.953
1656468601.360497,195.148.124.36,5,5,0.913
1656469201.685500,195.148.124.36,5,5,0.963
1656469801.888075,195.148.124.36,5,5,0.939
1656470401.301265,195.148.124.36,5,5,0.836
1656471001.628586,195.148.124.36,5,5,2.489
1656471601.645888,195.148.124.36,5,5,0.903
1656472201.682549,195.148.124.36,5,5,0.939
1656472801.539392,195.148.124.36,5,5,0.91
1656473401.343624,195.148.124.36,5,5,0.927
1656474001.439491,195.148.124.36,5,5,0.912
1656474602.174956,195.148.124.36,5,5,0.96
1656475201.348451,195.148.124.36,5,5,0.968
1656475801.337149,195.148.124.36,5,5,0.923
1656476401.617024,195.148.124.36,5,5,0.96
1656477001.206702,195.148.124.36,5,5,0.904
1656477601.886009,195.148.124.36,5,5,0.962
1656478201.303566,195.148.124.36,5,5,5.833
1656478801.440315,195.148.124.36,5,5,0.961
1656479401.362780,195.148.124.36,5,5,0.897
1656480001.963761,195.148.124.36,5,5,0.958
1656480601.504699,195.148.124.36,5,5,1.86
1656481201.454130,195.148.124.36,5,5,0.928
1656481801.955859,195.148.124.36,5,5,0.956
1656482401.323930,195.148.124.36,5,5,0.802
1656483001.412224,195.148.124.36,5,5,0.917
1656483601.296391,195.148.124.36,5,5,0.938
1656484201.208638,195.148.124.36,5,5,0.945
1656484801.813031,195.148.124.36,5,5,0.972
1656485401.177893,195.148.124.36,5,5,0.915
1656486001.795162,195.148.124.36,5,5,0.897
1656486601.630446,195.148.124.36,5,5,0.999
1656487201.500704,195.148.124.36,5,5,4.206
1656487801.911703,195.148.124.36,5,5,0.929
1656488401.878719,195.148.124.36,5,5,0.903
1656489001.385095,195.148.124.36,5,5,4.827
1656489601.788873,195.148.124.36,5,5,0.903
1656490201.660627,195.148.124.36,5,5,0.959
1656490801.430365,195.148.124.36,5,5,0.918
1656491401.275541,195.148.124.36,5,5,0.964
1656492001.645418,195.148.124.36,5,5,0.929
1656492601.959827,195.148.124.36,5,5,0.854
1656493201.748439,195.148.124.36,5,5,0.908
1656493802.027806,195.148.124.36,5,5,0.907
1656494401.957305,195.148.124.36,5,5,0.951
1656495002.027229,195.148.124.36,5,5,0.952
1656495601.129772,195.148.124.36,5,5,0.934
1656496201.166799,195.148.124.36,5,5,0.878
1656496801.993020,195.148.124.36,5,5,0.906
1656497401.478476,195.148.124.36,5,5,0.929
1656498002.055937,195.148.124.36,5,5,0.899
1656498601.690594,195.148.124.36,5,5,0.933
1656499201.355292,195.148.124.36,5,5,0.938
1656499801.641286,195.148.124.36,5,5,0.935
1656500401.358216,195.148.124.36,5,5,4.539
1656501001.786318,195.148.124.36,5,5,4.013
1656501601.540030,195.148.124.36,5,5,0.938
1656502201.225492,195.148.124.36,5,5,0.875
1656502801.936317,195.148.124.36,5,5,6.009
1656503401.341948,195.148.124.36,5,5,1.094
1656504001.780381,195.148.124.36,5,5,3.853
1656504602.313959,195.148.124.36,5,5,1.042
1656505201.452809,195.148.124.36,5,5,1.105
1656505801.768718,195.148.124.36,5,5,1.07
1656506401.443100,195.148.124.36,5,5,4.541
1656507002.227725,195.148.124.36,5,5,1.078
1656507602.551582,195.148.124.36,5,5,5.024
1656508202.166109,195.148.124.36,5,5,1.074
1656508801.617277,195.148.124.36,5,5,2.993
1656509402.649872,195.148.124.36,5,5,1.076
1656510001.379164,195.148.124.36,5,5,1.123
1656510601.978260,195.148.124.36,5,5,1.131
1656511201.552476,195.148.124.36,5,5,1.186
1656511801.946649,195.148.124.36,5,5,1.075
1656512401.514674,195.148.124.36,5,5,3.01
1656513001.870790,195.148.124.36,5,5,1.07
1656513601.334484,195.148.124.36,5,5,1.172
1656514201.326713,195.148.124.36,5,5,4.6
1656514801.763996,195.148.124.36,5,5,4.304
1656515401.371758,195.148.124.36,5,5,1.164
1656516001.349115,195.148.124.36,5,5,3.11
1656516602.233725,195.148.124.36,5,5,1.183
1656517201.484678,195.148.124.36,5,5,1.243
1656517801.397309,195.148.124.36,5,5,1.102
1656518402.517278,195.148.124.36,5,5,1.091
1656519002.032711,195.148.124.36,5,5,1.205
1656519601.889352,195.148.124.36,5,5,1.153
1656520202.002906,195.148.124.36,5,5,1.14
1656520801.799810,195.148.124.36,5,5,1.168
1656521402.102696,195.148.124.36,5,5,1.126
1656522002.438794,195.148.124.36,5,5,1.137
1656522601.953160,195.148.124.36,5,5,3.53
1656523201.599253,195.148.124.36,5,5,1.18
1656523801.938933,195.148.124.36,5,5,1.096
1656524401.711372,195.148.124.36,5,5,1.102
1656525002.229655,195.148.124.36,5,5,1.114
1656525602.228774,195.148.124.36,5,5,1.119
1656526201.475804,195.148.124.36,5,5,1.089
1656526801.743041,195.148.124.36,5,5,1.105
1656527402.378301,195.148.124.36,5,5,1.195
1656528001.685636,195.148.124.36,5,5,1.253
1656528601.674750,195.148.124.36,5,5,4.392
